epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,3.140989065170288,0.06797542423009872,2.736454486846924,0.06534090638160706
1,2.7360455989837646,0.0642361119389534,2.7345736026763916,0.06534090638160706
2,2.7340571880340576,0.06690704822540283,2.731139898300171,0.09659090638160706
3,2.6774795055389404,0.10136217623949051,2.5699503421783447,0.1306818127632141
4,2.589068651199341,0.14289529621601105,2.5487396717071533,0.18039773404598236
5,2.509921073913574,0.1805555522441864,2.4726943969726562,0.20028409361839294
6,2.41339373588562,0.20686431229114532,2.415480613708496,0.22585226595401764
7,2.3156626224517822,0.24145299196243286,2.3250112533569336,0.26846590638160706
8,2.2446701526641846,0.26402243971824646,2.233471155166626,0.29971590638160706
9,2.18802547454834,0.3007478713989258,2.1536028385162354,0.3125
10,2.101732015609741,0.3202457129955292,2.1342709064483643,0.3139204680919647
11,2.0378313064575195,0.34081196784973145,2.099543571472168,0.3267045319080353
12,1.989959478378296,0.3561698794364929,2.066300868988037,0.3536931872367859
13,1.9615558385849,0.3691239356994629,2.0557382106781006,0.34659090638160706
14,1.9284379482269287,0.37727031111717224,2.062549352645874,0.35085228085517883
15,1.8907109498977661,0.38448184728622437,2.0252256393432617,0.3707386255264282
16,1.8534183502197266,0.4013087749481201,2.0571985244750977,0.36647728085517883
17,1.7975194454193115,0.4186698794364929,2.0332746505737305,0.37215909361839294
18,1.7597585916519165,0.4277510643005371,2.0730838775634766,0.36221590638160706
19,1.7217684984207153,0.43482905626296997,2.0427258014678955,0.3607954680919647
20,1.7268730401992798,0.43830129504203796,2.117368459701538,0.3451704680919647
21,1.7041057348251343,0.44083866477012634,2.1584928035736084,0.3494318127632141
22,1.677152156829834,0.4555288553237915,2.101062536239624,0.35653409361839294
23,1.6638990640640259,0.45232370495796204,2.194401741027832,0.3607954680919647
24,1.6541165113449097,0.45472756028175354,2.145636558532715,0.3764204680919647
