epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,2.962691068649292,0.0666399598121643,2.710205316543579,0.06676136702299118
1,2.706307888031006,0.08133012801408768,2.7084197998046875,0.06960227340459824
2,2.6684367656707764,0.08774038404226303,2.553579568862915,0.1463068127632141
3,2.5300345420837402,0.15411324799060822,2.5004751682281494,0.16903409361839294
4,2.446119546890259,0.18843482434749603,2.4285573959350586,0.19886364042758942
5,2.363929510116577,0.21567842364311218,2.309685707092285,0.24147726595401764
6,2.266193151473999,0.25267094373703003,2.277731418609619,0.25
7,2.2081048488616943,0.27069979906082153,2.2594096660614014,0.2713068127632141
8,2.154998302459717,0.29153311252593994,2.2562294006347656,0.27272728085517883
9,2.123384475708008,0.3087606728076935,2.2690768241882324,0.29403409361839294
10,2.0762996673583984,0.3174412250518799,2.1709394454956055,0.296875
11,2.0134923458099365,0.34428417682647705,2.3040597438812256,0.2954545319080353
12,1.9901020526885986,0.3485576808452606,2.1858534812927246,0.2982954680919647
13,1.942620873451233,0.37059295177459717,2.172125816345215,0.31960228085517883
14,1.8893097639083862,0.3774038553237915,2.1671102046966553,0.3110795319080353
15,1.856873869895935,0.38635149598121643,2.196475028991699,0.3125
16,1.8423619270324707,0.3993055522441864,2.202688455581665,0.3181818127632141
17,1.8059167861938477,0.404914528131485,2.2140634059906006,0.31960228085517883
18,1.7740331888198853,0.40985578298568726,2.1525728702545166,0.3323863744735718
19,1.7077480554580688,0.4342948794364929,2.1709609031677246,0.33664771914482117
20,1.699910044670105,0.4357638955116272,2.2514474391937256,0.3011363744735718
21,1.6928417682647705,0.43870192766189575,2.2323148250579834,0.31960228085517883
22,1.7015190124511719,0.43950319290161133,2.2196621894836426,0.3238636255264282
23,1.6348775625228882,0.4618055522441864,2.316054344177246,0.3011363744735718
24,1.556636095046997,0.48170405626296997,2.347961902618408,0.31960228085517883
