epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,2.7261900901794434,0.09475160390138626,2.5722692012786865,0.1463068127632141
1,2.536116123199463,0.15625,2.5839133262634277,0.15340909361839294
2,2.4207024574279785,0.19758279621601105,2.384023666381836,0.21590909361839294
3,2.3110132217407227,0.2426549196243286,2.279613494873047,0.265625
4,2.241985559463501,0.264289528131485,2.203481912612915,0.28977271914482117
5,2.17044997215271,0.29200053215026855,2.118479013442993,0.3110795319080353
6,2.1173698902130127,0.3102964758872986,2.1031148433685303,0.3181818127632141
7,2.057243824005127,0.33086270093917847,2.0652647018432617,0.32528409361839294
8,2.03025484085083,0.3400106728076935,2.061094045639038,0.3295454680919647
9,2.013108015060425,0.34995993971824646,2.0458288192749023,0.3167613744735718
10,1.9581998586654663,0.36124464869499207,1.9700214862823486,0.36789771914482117
11,1.9171503782272339,0.3798076808452606,2.0160582065582275,0.36789771914482117
12,1.9125088453292847,0.3735309839248657,1.9892005920410156,0.36647728085517883
13,1.883795976638794,0.3886885643005371,1.9401298761367798,0.3764204680919647
14,1.8496272563934326,0.3973691165447235,1.9508674144744873,0.3579545319080353
15,1.830855131149292,0.4055822789669037,1.9887416362762451,0.37215909361839294
16,1.7991132736206055,0.4142628312110901,1.9249619245529175,0.3792613744735718
17,1.770047903060913,0.42347756028175354,1.9899177551269531,0.3579545319080353
18,1.763647437095642,0.4240785241127014,1.9910674095153809,0.3707386255264282
19,1.7284271717071533,0.4344284236431122,1.986325740814209,0.3863636255264282
20,1.6934666633605957,0.4455795884132385,1.979692816734314,0.38210228085517883
21,1.6666134595870972,0.4537259638309479,1.966518521308899,0.41335228085517883
22,1.61699378490448,0.47302350401878357,2.0112416744232178,0.3693181872367859
23,1.5967540740966797,0.4770299196243286,2.03456711769104,0.3735795319080353
24,1.5785901546478271,0.4930555522441864,1.9846909046173096,0.3735795319080353
