epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,2.886538028717041,0.07011217623949051,2.7467005252838135,0.06818182021379471
1,2.696626663208008,0.09054487198591232,2.623112440109253,0.1505681872367859
2,2.5876009464263916,0.14623397588729858,2.5626718997955322,0.13210226595401764
3,2.468540906906128,0.1868322640657425,2.5663721561431885,0.1463068127632141
4,2.384019613265991,0.22422543168067932,2.3665659427642822,0.24147726595401764
5,2.2990267276763916,0.2509348392486572,2.3635995388031006,0.23295454680919647
6,2.2578842639923096,0.26829594373703003,2.3020901679992676,0.2514204680919647
7,2.2089643478393555,0.2860576808452606,2.2688887119293213,0.2926136255264282
8,2.168848991394043,0.29260149598121643,2.311690330505371,0.25284090638160706
9,2.1331186294555664,0.30715811252593994,2.1866378784179688,0.2911931872367859
10,2.080794095993042,0.3214476406574249,2.1542913913726807,0.31534090638160706
11,2.0510826110839844,0.3365384638309479,2.1870782375335693,0.30397728085517883
12,2.0385782718658447,0.33627137541770935,2.1997132301330566,0.30397728085517883
13,1.9819815158843994,0.3545673191547394,2.2103371620178223,0.31534090638160706
14,1.9796478748321533,0.3552350401878357,2.1581175327301025,0.3579545319080353
15,1.937648892402649,0.37580129504203796,2.200449228286743,0.3167613744735718
16,1.915514588356018,0.38141027092933655,2.256920337677002,0.3323863744735718
17,1.912115454673767,0.37793803215026855,2.2647740840911865,0.3338068127632141
18,1.8855524063110352,0.38635149598121643,2.208731174468994,0.33522728085517883
19,1.8565462827682495,0.4025106728076935,2.247769594192505,0.328125
20,1.7916885614395142,0.42174145579338074,2.437746286392212,0.3267045319080353
21,1.7925232648849487,0.4229433834552765,2.204768180847168,0.34659090638160706
22,1.7559839487075806,0.43936964869499207,2.2655200958251953,0.3110795319080353
23,1.693975567817688,0.4499198794364929,2.440753221511841,0.30397728085517883
24,1.726209044456482,0.44978633522987366,2.4957101345062256,0.3267045319080353
